PDB,label,year,resolution,type,operation,data
3zzf,0.3979400086720376,2012,2.20,Ki,=,400mM
3gww,0.44977164694490596,2009,2.46,IC50,=,355mM
1w8l,0.494850021680094,2004,1.80,Ki,=,320mM
3fqa,0.494850021680094,2009,2.35,IC50,=,320mM
1zsb,0.6020599913279624,1996,2.00,Kd,=,250mM
4obv,0.7495799976911061,2014,2.84,Ki,=,178mM
1wkm,0.8239087409443188,2005,2.30,Ki,=,150mM
3k41,0.8239087409443188,2009,1.90,Kd,=,150mM
4eu3,0.8239087409443188,2012,1.58,Ki,=,150mM
2w97,0.958607314841775,2010,2.29,Kd,=,110mM
1p0y,0.9965394678904935,2003,2.55,Ki,=,100.8mM
2b1r,0.9956786262173574,2006,2.20,Ki,=,101mM
2d2v,1.0,2006,2.50,Ki,=,100mM
2a31,1.0132282657337552,2006,1.25,Kd,=,97mM
1aw1,1.0506099933550872,1998,2.70,Ki,=,89mM
1maw,1.0969100130080565,2003,3.00,Kd,=,80mM
3fl9,1.1123826996642638,2009,2.40,IC50,=,77.2mM
4lh2,1.2365720064370627,2013,1.67,Ki,=,58mM
4to8,1.2448877336049289,2014,2.10,IC50,=,56.9mM
4fci,1.2596373105057561,2012,1.82,Ki,~,55mM
4fck,1.2596373105057561,2012,1.90,Ki,~,55mM
4clp,1.2660007134616131,2014,1.90,Kd,=,54.2mM
1f9g,1.275724130399211,2001,2.00,Ki,=,53mM
1a0t,1.3010299956639813,1998,2.40,Kd,=,50mM
1b74,1.3010299956639813,2000,2.30,Ki,=,50mM
2fah,1.3010299956639813,2006,2.09,Ki,>,50mM
2igw,1.3098039199714864,2007,1.78,Kd,=,49mM
2vl1,1.3467874862246563,2008,2.15,Ki,=,45mM
3nm6,1.3467874862246563,2010,1.60,Kd,=,45mM
1qpb,1.3565473235138126,2000,2.40,Kd,=,44mM
1hty,1.3979400086720375,2002,1.40,IC50,=,40mM
1o4l,1.3979400086720375,2004,1.65,IC50,>,40mM
1o4m,1.3979400086720375,2004,1.60,IC50,>,40mM
1o4n,1.3979400086720375,2004,1.60,IC50,>,40mM
2hdq,1.3979400086720375,2006,2.10,Ki,=,40mM
3eor,1.3979400086720375,2009,2.90,Kd,=,40mM
3e81,1.431798275933005,2008,1.63,Ki,=,37mM
1ozv,1.4365189146055892,2003,2.65,Ki,=,36.6mM
1utp,1.4436974992327127,2004,1.30,Kd,=,36mM
1tnk,1.4881166390211256,1994,1.80,Ki,=,32.5mM
4bh4,1.494850021680094,2013,1.90,Kd,=,32mM
4lh3,1.5228787452803376,2013,1.81,Ki,=,30mM
5ct1,1.5199930570428493,2015,2.00,Kd,=,30.2mM
3mwe,1.537602002101044,2010,2.20,Ki,=,29mM
4amw,1.5482135644757098,2013,1.90,Ki,=,28.3mM
1iig,1.5686362358410126,2001,2.60,Ki,=,27mM
3rup,1.5686362358410126,2011,1.99,Ki,=,27.0mM
5cs5,1.575118363368933,2015,1.90,Kd,=,26.6mM
2b1q,1.585026652029182,2006,2.20,Ki,=,26mM
1w8m,1.6020599913279623,2004,1.65,Ki,=,25mM
3itc,1.6020599913279623,2010,1.70,Ki,=,25mM
2it4,1.6179829574251317,2007,2.00,Ki,=,24.1mM
1a7t,1.6382721639824072,1998,1.85,Ki,=,23mM
4d63,1.6382721639824072,2015,2.20,Kd,~,23mM
1hgj,1.6575773191777938,1994,2.70,Kd,=,22mM
1rdj,1.6635402661514704,1996,1.80,Ki,=,21.7mM
2o9r,1.6777807052660807,2007,2.30,Ki,=,21mM
4qsw,1.6777807052660807,2014,1.80,Kd,=,21mM
1d2v,1.6989700043360187,2000,1.75,Kd,=,20mM
1jou,1.6989700043360187,2001,1.80,Kd,=,20mM
2sfp,1.6989700043360187,1999,1.90,Ki,=,20mM
3gf2,1.6989700043360187,2009,1.80,Kd,=,20mM
3oay,1.6989700043360187,2011,1.95,IC50,~,20mM
4tyb,1.699187205881883,2015,2.93,Kd,=,19.99mM
3g6m,1.705533773838407,2010,1.65,Ki,=,19.7mM
2hdr,1.7212463990471711,2006,2.20,Ki,=,19mM
3ern,1.7233084711549602,2009,2.10,Kd,=,18.91mM
3vzg,1.7212463990471711,2013,2.70,Kd,=,19mM
3zst,1.7212463990471711,2011,2.30,IC50,=,19mM
1u2y,1.744727494896694,2004,1.95,Ki,=,18mM
4qsx,1.744727494896694,2014,1.93,Kd,=,18mM
1s8j,1.7695510786217261,2004,2.30,Kd,=,17mM
4bgx,1.7695510786217261,2013,2.48,Kd,=,17mM
3f39,1.7825160557860937,2009,1.85,Kd,=,16.5mM
2zgm,1.7851561519523023,2009,1.90,Ki,=,16.4mM
1ga8,1.7958800173440752,2001,2.00,Ki,=,16mM
3rxh,1.8041003475907662,2011,1.70,IC50,=,15.7mM
1af6,1.8239087409443189,1998,2.40,Kd,=,15mM
1bra,1.8239087409443189,1994,2.20,Ki,=,15000uM
1d5r,1.8239087409443189,1999,2.10,Ki,=,15mM
1y1m,1.8153085691824011,2005,1.80,Ki,=,15.3mM
3eqb,1.8239087409443189,2008,2.62,IC50,=,15mM
4ahv,1.8239087409443189,2012,1.80,Kd,=,15mM
1rdn,1.8416375079047502,1996,1.80,Ki,=,14.4mM
1fd7,1.853871964321762,2000,1.80,IC50,=,14mM
3khv,1.8541822855081724,2009,2.35,Ki,=,13.99mM
1tnl,1.8761483590329142,1994,1.90,Ki,=,13.3mM
2ay2,1.8827287043442358,1999,2.40,Kd,=,13.1mM
4x8s,1.8860566476931633,2015,2.10,Ki,=,13mM
1f2p,1.8961962790440432,2001,1.80,Ki,=,12.7mM
4mrh,1.899629454882437,2014,1.12,Kd,=,12.6mM
1f2o,1.9065783148377649,2001,1.70,Ki,=,12.4mM
1efi,1.9208187539523751,2000,1.60,IC50,=,12mM
3ehn,1.9208187539523751,2009,2.80,Kd,=,12mM
4bh3,1.9208187539523751,2013,2.00,Kd,=,12mM
2rjr,1.9355420107730816,2008,2.10,IC50,=,11.6mM
4mrf,1.9507819773298183,2014,1.55,Kd,=,11.2mM
1tnj,1.958607314841775,1994,1.80,Ki,=,11.0mM
2gga,1.958607314841775,2006,1.70,IC50,=,11mM
1wdq,1.9808837095529273,2005,1.28,Kd,=,10.45mM
3i3d,1.9871627752948278,2010,2.20,Ki,=,10.3mM
1gbt,2.0,1994,2.00,Ki,=,10mM
1ing,2.0,1996,2.40,IC50,>,10mM
2bmv,2.0,2006,2.11,Kd,=,10mM
2hds,2.0,2006,1.16,Ki,=,10mM
2r58,2.0,2007,2.00,Kd,=,10mM
3c2f,1.9956786262173574,2008,2.35,Kd,=,10.1mM
3g2y,2.0,2009,1.31,Ki,=,10mM
3pce,2.0,1998,2.06,Ki,=,10mM
3rv3,2.0,2011,1.91,IC50,=,10mM
4awj,2.0,2012,2.50,Kd,~,10000uM
4ctk,2.0,2014,1.53,IC50,>,10mM
4kz5,2.0,2014,1.35,Ki,<,10mM
4qsu,2.0,2014,1.90,Kd,=,10mM
4qsv,2.0,2014,1.90,Kd,=,10mM
4u58,2.0,2015,2.56,Kd,>,10.0mM
4ty8,2.0310503190186573,2015,2.78,Kd,=,9.31mM
2ks9,2.0447934624580584,2010,NMR,Ki,=,9.02mM
1jfh,2.0457574905606752,1998,2.03,Ki,=,9mM
4e4a,2.0457574905606752,2012,1.45,IC50,=,9mM
4ty9,2.0476919903378747,2015,2.78,Kd,=,8.96mM
4x8t,2.050609993355087,2015,2.20,Kd,=,8.9mM
1qq9,2.0604807473813813,2000,1.53,Ki,=,8.7mM
1rdi,2.0555173278498313,1996,1.80,Ki,=,8.8mM
2zg3,2.0604807473813813,2008,3.00,Kd,=,8.7mM
4u54,2.0604807473813813,2015,2.41,Kd,=,8.7mM
3ao4,2.070581074285707,2011,1.95,Kd,=,8.5mM
4b0c,2.070581074285707,2012,2.70,Kd,=,8.5mM
3rxp,2.0809219076239263,2011,1.60,IC50,=,8.3mM
1njj,2.0969100130080562,2003,2.45,Ki,=,8mM
2zg1,2.0969100130080562,2008,2.70,Kd,=,8.0mM
4aml,2.0969100130080562,2012,1.60,IC50,=,8mM
4cs9,2.0969100130080562,2014,2.01,Kd,=,8mM
3uf9,2.109020403010311,2012,2.68,Ki,=,7.78mM
1qx1,2.1249387366083,2003,1.30,Ki,=,7.5mM
2w8w,2.1249387366083,2009,2.14,Kd,=,7.5mM
3gv9,2.1249387366083,2009,1.80,Ki,=,7.5mM
1p2g,2.1307682802690238,2003,2.30,Ki,=,7.4mM
1uxb,2.154901959985743,2004,1.75,Kd,=,7mM
3rxg,2.1487416512809245,2011,1.70,IC50,=,7.1mM
